x,y,z,resultado
1.79815,8.07459,9.63683,19.5096
9.70916,2.41798,8.90683,21.034
0.413526,3.51482,4.71786,8.6462
4.46638,5.51469,5.38896,15.37
0.00488296,8.55342,5.38377,13.9421
3.47758,0.407422,0.0787378,3.96374
2.3899,8.35261,6.16749,16.91
7.44591,8.95016,4.89853,21.2946
1.2302,8.01874,0.355846,9.60478
0.0756859,1.20304,0.510269,1.789
8.87326,6.87918,2.73354,18.486
3.08756,0.670186,9.79553,13.5533
8.38038,5.01358,2.14331,15.5373
2.08136,6.03259,4.63576,12.7497
7.1984,0.170598,6.94449,14.3135
1.53783,2.05084,5.51775,9.10642
1.44322,5.66088,9.11039,16.2145
9.20072,6.37745,1.20975,16.7879
6.50655,9.58861,3.36436,19.4595
8.16126,4.82498,8.38588,21.3721
1.90344,9.17539,7.61132,18.6901
5.37248,6.41133,4.73678,16.5206
7.20634,7.14316,1.24912,15.5986
4.3263,2.4778,0.165716,6.96982
2.79794,6.44154,0.00762963,9.24711
3.46934,2.64901,5.27818,11.3965
5.29954,1.27049,0.969573,7.5396
6.88345,5.5678,0.856349,13.3076
4.10535,2.59529,0.671712,7.37236
6.03351,5.48662,2.5779,14.098
3.75622,1.45421,3.89477,9.1052
7.26859,8.16187,8.13654,23.567
8.15668,9.54772,2.16742,19.8718
5.4854,2.32582,5.44114,13.2524
8.1286,0.133366,0.416578,8.67855
6.17512,7.56859,6.90878,20.6525
4.74837,9.38566,8.79421,22.9283
2.24219,6.96768,2.30445,11.5143
8.59157,5.33403,5.8092,19.7348
4.72945,4.56374,7.38121,16.6744
0.655538,4.59181,9.68108,14.9284
4.18592,4.96231,3.93353,13.0818
5.59496,2.45827,8.60592,16.6591
8.10846,6.28864,5.11765,19.5148
3.22428,6.01703,8.61934,17.8607
5.91327,9.60417,4.1908,19.7082
1.3184,8.67489,1.18381,11.1771
2.53426,9.01212,1.50212,13.0485
2.7308,4.54299,2.82174,10.0955
1.21036,8.25892,9.80255,19.2718
4.11237,8.3404,7.24357,19.6963
1.58818,2.94351,8.04865,12.5803
3.20444,7.37571,7.79443,18.3746
7.18894,3.70952,5.07035,15.9688
8.11701,2.89743,5.87054,16.885
2.77474,6.28651,2.99509,12.0563
6.38844,4.90493,0.507828,11.8012
3.51573,0.209967,2.46162,6.18732
5.24216,3.68114,6.86544,15.7888
0.281381,0.712912,3.62438,4.61867
8.53664,9.06613,8.06055,25.6633
5.18326,8.93429,5.0148,19.1324
1.7011,1.0712,7.03177,9.80407
4.86312,5.4561,2.73995,13.0592
4.72945,9.1467,4.01227,17.8884
2.24586,2.50343,1.49846,6.24775
6.27918,8.43287,2.10913,16.8212
6.79647,2.20069,2.74331,11.7405
0.393994,5.96667,9.58739,15.9481
4.9733,3.28928,0.26429,8.52687
2.53059,4.27778,4.0376,10.846
2.83578,7.96319,5.7445,16.5435
4.72396,0.381481,1.92236,7.0278
7.84661,5.16739,2.72591,15.7399
2.08777,1.08707,8.2403,11.4151
3.11289,8.14722,3.14524,14.4053
5.67461,7.03391,6.55904,19.2676
0.841395,3.42021,2.40669,6.66829
1.2714,4.23048,0.615253,6.11713
8.9111,6.96127,3.13486,19.0072
1.23386,9.29899,6.35395,16.8868
1.43437,2.46925,0.489212,4.39283
8.18842,9.42076,8.92239,26.5316
7.26188,7.38975,9.52971,24.1813
6.64724,6.35792,4.01105,17.0162
5.768,6.12934,3.80779,15.7051
2.50618,2.14118,8.24732,12.8947
3.2902,7.89941,0.400098,11.5897
2.28614,8.3404,0.408338,11.0349
2.4134,0.0653096,6.21937,8.69808
5.09171,7.48497,5.24247,17.8191
6.25446,8.07337,9.92187,24.2497
1.85186,0.466018,5.91571,8.23359
7.17185,1.15024,9.29044,17.6125
9.69695,3.8374,0.818812,14.3532
0.21424,0.358287,1.88208,2.4546
5.59648,2.13233,6.88711,14.6159
2.34169,3.39793,3.23801,8.97763
3.88684,8.84915,5.98498,18.721
5.26322,0.112003,8.29096,13.6662
8.24915,1.87811,4.51765,14.6449
8.90439,5.17106,4.06354,18.139
1.39286,1.12796,0.517899,3.03873
0.268563,1.13804,1.51921,2.92581
6.34266,4.16486,8.25037,18.7579
5.04959,7.34336,7.81304,20.206
3.07627,6.09302,9.15372,18.323
3.04971,8.89981,3.41716,15.3667
4.61531,8.91171,0.920743,14.4478
9.49156,7.10715,7.9046,24.5033
8.69564,9.42381,4.98306,23.1025
8.93704,8.59188,9.83764,27.3666
6.18793,9.72106,7.82891,23.7379
3.00546,7.11234,6.46199,16.5798
6.66128,6.54805,4.74532,17.9547
3.64605,0.269784,4.00861,7.92444
6.19373,1.73467,6.92282,14.8512
6.62496,4.62539,5.5858,16.8361
3.96588,1.60039,5.70086,11.2671
1.4066,8.21223,7.19321,16.812
3.55541,5.056,2.28431,10.8957
9.9353,0.396435,9.50774,19.8395
3.47819,4.29029,8.77438,16.5429
4.28297,6.70949,0.0680563,11.0605
0.592364,4.6736,8.10236,13.3683
7.9049,1.91778,3.55602,13.3787
0.787072,8.11945,7.65587,16.5624
3.62255,9.46867,3.26579,16.357
5.14969,2.82907,5.3209,13.2997
9.68688,0.767846,0.881985,11.3367
7.78527,8.38252,8.54518,24.713
9.57152,4.81613,0.511795,14.8994
4.93149,4.76424,8.15424,17.85
7.83196,8.72372,2.86996,19.4256
5.17594,3.39274,0.228278,8.79696
9.59349,3.89111,2.79916,16.2838
8.73165,3.78094,2.64626,15.1588
1.34892,2.32765,4.18226,7.85882
1.09653,7.36595,9.1757,17.6382
1.9303,4.01227,7.03421,12.9768
4.24329,6.55934,4.47584,15.2785
1.04984,0.603961,8.36757,10.0214
8.04163,8.40205,9.34263,25.7863
4.94369,4.40901,7.59362,16.9463
7.14164,4.66384,8.18201,19.9875
0.618305,5.60259,4.9736,11.1945
5.27116,0.00274667,1.37059,6.64449
8.26777,6.5041,4.22712,18.999
1.11942,3.18155,5.00351,9.30448
1.83752,0.465102,4.10291,6.40553
8.8995,9.56328,0.865505,19.3283
6.7214,5.93371,4.74868,17.4038
3.5725,2.42256,1.52379,7.51885
7.41661,4.69649,9.34538,21.4585
6.845,2.26875,0.446791,9.56053
2.90933,8.49361,5.94653,17.3495
6.61061,3.62926,6.29719,16.5371
9.85076,1.33183,5.02701,16.2096
0.829493,3.84625,5.25529,9.93103
9.45128,7.19718,1.15574,17.8042
8.09381,4.62294,6.65517,19.3719
9.75677,5.6859,8.71548,24.1581
2.61971,0.594501,6.6036,9.8178
6.77908,2.63802,7.92901,17.3461
2.37251,6.33106,2.87637,11.5799
2.11463,0.37019,4.91348,7.3983
6.68935,0.141301,3.45927,10.2899
7.43828,3.83648,4.23933,15.5141
5.42405,6.13147,1.90466,13.4602
3.86151,6.27003,0.883816,11.0154
6.49831,1.35868,6.44795,14.3049
2.82846,1.76366,6.65975,11.2519
4.06781,8.94925,7.80816,20.8252
1.26591,4.16211,0.540178,5.9682
6.57277,6.87582,4.06293,17.5115
3.32499,2.73049,8.94955,15.005
3.9555,2.04566,1.16031,7.16147
0.529801,6.6689,7.34031,14.539
7.57012,6.62862,5.76891,19.9676
7.71661,3.82366,4.48958,16.0298
6.01184,4.43587,4.54054,14.9883
0.0457778,5.22782,2.12043,7.39402
6.52333,5.88092,1.68828,14.0925
2.89438,7.58507,1.00345,11.4829
6.02649,6.87338,6.32801,19.2279
7.75506,1.7716,6.81448,16.3411
9.447,6.15467,3.55815,19.1598
9.73846,8.1106,1.00101,18.8501
7.07205,3.3372,9.99023,20.3995
2.04016,9.80041,9.97955,21.8201
8.49361,2.51015,6.64205,17.6458
6.12476,5.76922,6.3802,18.2742
9.44578,9.96277,1.04312,20.4517
9.59014,4.53536,5.08469,19.2102
0.84933,5.61052,7.2869,13.7468
3.00668,2.71676,0.628071,6.35151
7.8161,2.34809,8.87753,19.0417
8.67428,6.84713,7.48619,23.0076
1.55553,2.00659,5.81378,9.3759
4.49477,6.40187,7.05893,17.9556
0.264901,7.18101,5.6328,13.0787
1.26621,0.632649,1.03122,2.93008
7.44285,1.08646,9.42595,17.9553
7.88049,3.24595,6.52028,17.6467
8.9111,9.11649,9.31303,27.3406
2.45216,8.3459,0.231941,11.03
4.36445,2.11829,4.82528,11.308
4.5381,9.68688,3.01431,17.2393
6.80288,8.8461,3.32469,18.9737
0.56032,4.35133,8.94009,13.8517
4.92294,9.83123,5.22202,19.9762
7.64397,2.77352,0.661946,11.0794
0.770592,3.29814,9.63225,13.701
6.45253,0.805689,1.46214,8.72036
8.86654,1.96692,1.42827,12.2617
7.64794,7.49931,0.457472,15.6047
4.91867,3.90362,7.70959,16.5319
5.41154,5.74114,7.05863,18.2113
3.35215,7.24387,1.71911,12.3151
1.43742,3.05826,0.23957,4.73525
4.45479,3.86303,6.48366,14.8015
0.0665304,8.04315,3.75286,11.8625
5.26048,7.16544,0.152898,12.5788
6.13147,5.2208,6.32832,17.6806
4.53505,0.358898,1.45177,6.34571
7.78832,9.01395,2.40028,19.2026
2.74483,0.116581,8.034,10.8954
3.4376,7.00217,0.256661,10.6964
3.81787,2.64657,4.16272,10.6272
0.993988,5.20219,6.94327,13.1394
8.2107,1.1829,8.20734,17.6009
5.51592,4.8265,9.03775,19.3802
7.41203,1.95624,6.24958,15.6178
3.80535,2.19123,1.79907,7.79565
9.90417,6.1269,6.87613,22.9072
8.28455,2.36213,2.40394,13.0506
8.90652,4.15754,5.19883,18.2629
3.48308,4.03088,2.313,9.82696
4.30525,2.96487,2.62307,9.89319
3.10129,9.22117,5.45915,17.7816
6.16993,1.10721,4.04706,11.3242
0.0921659,8.00287,9.21415,17.3092
6.50716,9.57854,7.32566,23.4114
2.76437,6.71072,0.174566,9.64965
0.607929,1.63121,2.19062,4.42976
2.82266,9.40367,3.01401,15.2403
0.769677,0.797754,8.65749,10.2249
2.76589,7.8225,4.17219,14.7606
4.56343,8.07154,9.49461,22.1296
6.40919,6.03534,9.28465,21.7292
8.44111,3.39518,8.85372,20.69
3.73699,3.64696,0.23133,7.61528
6.54988,9.335,0.892361,16.7772
6.086,7.09311,0.749229,13.9283
5.42497,2.42775,9.43907,17.2918
6.02161,3.40098,4.95376,14.3764
9.00449,6.38661,3.65947,19.0506
4.5146,6.13025,7.13401,17.7789
6.38997,7.3629,6.59627,20.3491
2.31697,0.257881,0.0256355,2.60048
8.24732,1.12064,4.55031,13.9183
9.12137,2.79641,8.70235,20.6201
7.90094,1.42766,6.86789,16.1965
9.31822,0.162969,4.51949,14.0007
1.33549,4.54695,8.9874,14.8698
3.28257,3.03232,4.42549,10.7404
7.669,2.61971,7.87835,18.1671
4.3025,5.82873,1.66234,11.7936
9.50163,5.2327,9.48729,24.2216
9.79522,2.40699,0.715964,12.9182
2.09571,9.81353,3.76232,15.6716
7.59667,3.08786,8.51863,19.2032
2.8547,3.93475,5.51286,12.3023
0.0695822,2.28919,1.66601,4.02478
9.31211,2.4012,9.98779,21.7011
6.85507,1.80395,2.01819,10.6772
6.04907,5.36058,1.93945,13.3491
7.48405,3.53771,6.72536,17.7471
9.88739,6.91153,7.25974,24.0587
4.09619,8.51344,9.77264,22.3823
9.58678,2.99783,8.32118,20.9058
8.33277,7.3986,6.76138,22.4928
2.40638,9.03073,9.19706,20.6342
1.42918,2.99875,9.10947,13.5374
6.45955,7.94397,6.14368,20.5472
8.81588,8.29554,4.43312,21.5445
6.09455,4.47737,3.46171,14.0336
6.40797,5.97186,2.77078,15.1506
8.80764,7.6809,6.25752,22.7461
1.4951,8.20643,9.82055,19.5221
7.68029,7.16086,1.03763,15.8788
2.95328,0.0592059,4.70779,7.72027
4.28449,5.7268,3.67016,13.6814
9.6643,7.30369,7.24296,24.2109
4.68734,8.06085,3.33598,16.0842
8.77926,1.27628,4.40992,14.4655
6.81845,8.1048,1.89001,16.8133
3.06467,0.556352,4.21033,7.83136
2.33619,3.26823,1.8244,7.42882
5.25773,3.17454,3.20841,11.6407
1.45482,7.56401,4.01105,13.0299
3.38816,4.97543,8.43715,16.8007
6.24897,4.62416,9.86236,20.7355
0.66744,0.856044,0.987884,2.51137
7.96838,1.49541,2.7195,12.1833
3.00058,7.18863,3.86151,14.0507
8.1399,1.39317,1.42796,10.961
2.7546,7.03574,6.74764,16.538
2.931,4.47371,6.41621,13.8209
5.3264,6.0387,1.60649,12.9716
6.68538,6.4095,6.43208,19.527
1.5482,7.34306,1.44536,10.3366
4.92782,1.3654,3.63964,9.93286
0.330515,9.88647,6.82058,17.0376
0.753807,5.13352,7.29728,13.1846
8.3694,7.04917,6.56819,21.9868
2.59987,1.94342,2.97708,7.52037
3.53771,3.30821,7.33116,14.1771
7.18772,1.05533,6.49648,14.7395
1.9657,6.40736,6.85781,15.2309
0.212104,2.94076,0.650044,3.80291
2.01849,2.87637,5.05692,9.95178
0.324412,5.88549,9.7351,15.945
7.71722,6.79525,0.638142,15.1506
0.423597,8.48445,2.96548,11.8735
5.79455,6.70888,6.10828,18.6117
5.44206,7.96472,4.46486,17.8716
0.839869,4.84329,6.17756,11.8607
8.95566,4.8439,5.8153,19.6149
8.0813,7.47551,0.516984,16.0738
3.31797,7.33726,8.41975,19.075
9.53673,6.74093,7.51885,23.7965
0.838954,0.435804,8.41731,9.69207
2.82418,3.54991,7.5341,13.9082
8.09046,0.920438,7.85363,16.8645
9.02158,9.9057,8.22718,27.1545
2.93374,7.02017,3.47697,13.4309
2.9545,7.99127,7.42882,18.3746
5.60564,6.20991,0.179144,11.9947
2.36579,4.20026,6.47908,13.0451
2.40394,3.02103,0.968963,6.39393
7.80267,0.0479141,5.73199,13.5826
4.44288,6.95547,0.683615,12.082
9.09452,9.89471,9.94018,28.9294
5.83789,4.92019,7.71386,18.4719
3.1135,8.86807,0.855739,12.8373
6.80105,9.25047,8.01599,24.0675
7.47429,4.54512,3.86456,15.884
8.69869,7.64946,9.94507,26.2932
2.09418,4.10108,1.03214,7.22739
1.43712,1.46641,8.13044,11.034
1.43254,5.99384,0.854213,8.28059
9.79766,9.92798,1.05319,20.7788
0.936003,3.08695,1.50304,5.52599
5.84368,6.47359,1.37669,13.694
8.04163,3.66558,5.71551,17.4227
0.470901,5.47441,1.69134,7.63665
7.2457,9.31089,7.90277,24.4594
9.85015,9.58403,2.41981,21.854
6.50472,5.35356,3.85266,15.7109
3.1547,6.04114,4.4322,13.628
4.82345,1.81463,6.77053,13.4086
7.83807,0.654012,7.68029,16.1724
4.58785,1.68157,6.63198,12.9014
9.03775,7.19596,0.162969,16.3967
3.22794,0.256966,9.12778,12.6127
1.75848,3.78765,9.98016,15.5263
3.42662,5.42894,2.15674,11.0123
9.48729,2.80038,8.40785,20.6955
5.56413,5.30015,8.05933,18.9236
2.1366,3.06925,5.08713,10.293
6.65242,7.9049,4.89181,19.4491
0.930509,9.11527,8.76003,18.8058
2.92795,9.02066,6.23768,18.1863
9.25108,7.7752,9.83703,26.8633
4.76882,9.5645,2.56874,16.9021
7.88141,4.46974,5.61876,17.9699
8.95383,5.02426,4.32417,18.3023
1.67791,5.49028,6.52608,13.6943
0.724204,7.04733,3.81909,11.5906
3.7965,5.44053,3.41197,12.649
2.89163,2.95694,6.18885,12.0374
4.38704,6.57704,3.26334,14.2274
7.60949,3.83068,4.96323,16.4034
4.45601,5.46556,4.49568,14.4172
4.66109,7.09799,1.88086,13.6399
3.57128,8.42494,4.96475,16.961
4.42213,6.68386,9.3997,20.5057
3.54534,6.84164,6.9161,17.3031
0.314341,3.72051,4.29426,8.32911
0.408948,2.92581,4.6794,8.01416
0.838343,5.10971,8.02881,13.9769
5.13627,2.03589,4.22254,11.3947
1.34556,6.91153,0.458693,8.71578
0.932951,5.60961,9.93622,16.4788
6.92251,5.96332,4.14838,17.0342
2.74789,5.25315,4.5204,12.5214
6.2862,7.53594,3.40098,17.2231
4.20423,9.87396,3.79772,17.8759
8.71517,0.431837,1.26133,10.4083
9.67681,0.191656,0.947295,10.8158
8.02393,5.03098,5.50584,18.5607
5.97278,4.75265,5.309,16.0344
5.64135,5.56841,7.228,18.4378
0.285043,4.93149,0.763268,5.9798
5.28001,6.72323,9.32218,21.3254
0.0134281,9.65728,9.02524,18.6959
0.669271,7.56096,3.20627,11.4365
6.93411,9.88556,5.24308,22.0627
1.68706,4.34889,6.74459,12.7805
4.32844,4.52437,8.31324,17.1661
9.16227,8.92789,0.813623,18.9038
2.24647,9.75738,7.55577,19.5596
0.897855,2.47139,2.51503,5.88427
4.39405,8.81619,2.10791,15.3182
7.35832,6.82943,5.94958,20.1373
1.39164,5.43992,0.818812,7.65038
1.16977,8.48109,2.97525,12.6261
0.653401,7.80084,9.81323,18.2675
6.41682,4.67574,2.7134,13.806
4.07727,6.79189,3.51939,14.3886
7.86004,8.86105,6.01215,22.7332
2.42927,9.56084,4.03333,16.0234
2.97037,4.22651,5.86138,13.0583
0.932951,2.23029,4.48103,7.64428
7.26463,1.41545,3.13181,11.8119
5.45244,1.15574,5.82965,12.4378
2.11463,0.364086,5.2324,7.71111
3.979,6.0802,4.57259,14.6318
0.248115,8.13776,9.5996,17.9855
5.19028,7.38884,2.17566,14.7548
3.78063,5.7326,0.586566,10.0998
5.86322,9.6118,7.34275,22.8178
9.09116,8.41182,3.5847,21.0877
3.16538,0.602741,0.314951,4.08307
8.42219,7.42332,0.291147,16.1367
7.55577,6.70797,5.76525,20.029
5.99902,7.23563,0.246895,13.4816
8.44691,4.95254,8.69564,22.0951
2.95511,2.90475,2.28889,8.14875
9.18577,0.0994903,7.28752,16.5728
6.71163,8.14783,1.69836,16.5578
1.5067,3.58654,9.17631,14.2695
2.89254,7.37205,0.793481,11.0581
3.7141,9.10337,4.36537,17.1828
7.64397,5.55193,8.78811,21.984
2.62795,2.17536,0.18891,4.99222
1.60466,9.71435,7.14133,18.4603
8.1225,4.80026,2.67678,15.5995
0.00061037,6.11988,5.63372,11.7542
2.0484,7.22648,5.54765,14.8225
2.64657,9.27976,8.24305,20.1694
1.81097,3.59447,4.19477,9.60021
9.30296,3.96832,2.84951,16.1208
4.03302,2.62032,8.58547,15.2388
6.09088,0.630818,1.06906,7.79076
6.88986,5.08866,7.31437,19.2929
3.75958,9.28953,0.402234,13.4513
2.05725,2.80831,6.31489,11.1805
4.80026,8.47621,6.6097,19.8862
0.0524918,5.21165,1.21555,6.47969
9.92645,5.1265,6.03137,21.0843
7.2927,6.10645,3.29447,16.6936
1.57994,9.96094,1.742,13.2829
0.720237,0.539872,6.65456,7.91467
9.08567,1.98279,0.174261,11.2427
7.58049,6.52577,9.8883,23.9946
3.14646,6.51387,2.4485,12.1088
5.14145,4.74471,0.365001,10.2512
2.78726,4.9498,3.33567,11.0727
9.07987,7.5753,4.60768,21.2629
1.84851,2.42958,6.81692,11.095
1.13712,3.10831,5.26475,9.51018
0.987579,3.03995,6.83004,10.8576
7.78191,6.47328,5.22568,19.4809
1.0831,2.37739,1.2656,4.7261
3.17698,6.0445,3.6433,12.8648
1.22288,5.41826,2.84677,9.4879
3.07077,2.20954,8.34437,13.6247
5.33647,5.02152,8.4286,18.7866
2.47719,7.5573,5.53545,15.5699
2.25471,4.21155,4.76485,11.2311
0.52736,5.88885,2.10791,8.52413
0.794092,4.94583,0.135502,5.87542
1.80212,9.58098,9.44731,20.8304
0.627461,8.59066,3.66131,12.8794
6.15558,6.79983,1.75024,14.7056
7.45354,0.0628681,3.93262,11.449
9.6646,8.13746,7.64214,25.4442
3.57219,9.80804,1.94617,15.3264
9.22208,2.64412,2.65908,14.5253
8.67824,6.70248,6.56911,21.9498
3.60271,2.24464,3.15744,9.00479
6.69515,1.87872,0.0671407,8.64101
5.89923,7.36137,0.647908,13.9085
9.13236,9.55962,2.89895,21.5909
7.2335,1.51891,0.754723,9.50713
