x,y,z,resultado
1.79907,1.35472,5.08835,12.4015
7.05252,5.56566,0.104984,4.12081
1.36357,2.62154,9.75707,34.8781
2.59011,5.46953,5.40239,76.5338
6.76138,3.60271,2.15613,52.5218
8.76888,8.59188,5.70208,429.601
2.9487,5.53179,9.65117,157.426
2.17017,3.53221,7.03909,53.9582
5.68682,1.39348,6.85904,54.354
5.10392,4.25275,6.73147,146.111
9.78912,3.32957,6.98508,227.668
0.936613,6.08112,9.39116,53.4888
9.00784,9.18882,3.54076,293.074
4.83627,5.7796,9.80346,274.023
8.14447,3.96924,2.69539,87.135
6.67959,2.94504,8.37672,164.784
7.75262,2.5486,4.57839,90.4613
8.66359,2.59774,7.08518,159.457
5.17869,9.95788,2.26417,116.76
8.94406,2.51473,2.74422,61.7227
8.91324,5.78753,6.16535,318.043
5.59832,9.89166,1.3596,75.29
2.53822,1.37089,5.41978,18.8588
3.67809,6.55171,3.39824,81.89
6.21815,3.39763,2.78817,58.9055
3.28867,6.39027,6.41499,134.814
3.93292,6.85904,1.8717,50.4911
9.77416,9.31089,9.77325,889.426
9.75646,4.93118,1.33152,64.0607
9.45402,8.81558,7.45262,621.121
2.6606,4.82528,6.5212,83.7202
7.19199,1.92206,0.448622,6.20149
2.88491,8.02698,0.751366,17.3995
6.61794,6.42567,1.20243,51.1329
0.00762963,1.9715,2.57851,0.0387854
1.35411,7.95831,0.18952,2.04234
9.86053,9.26725,8.24824,753.724
7.3336,4.09619,0.43672,13.119
0.468459,1.39164,6.03107,3.93182
3.49467,1.13437,0.598468,2.37249
2.62764,7.55577,7.88476,156.543
2.08167,7.37236,2.55867,39.2674
4.71786,7.40501,9.89319,345.626
1.65349,1.07456,6.56972,11.6729
0.211188,9.70428,2.58339,5.29447
7.0336,7.93054,6.96677,388.608
6.274,9.31364,1.68188,98.2782
2.00507,8.07978,5.73046,92.8362
9.13572,2.90902,5.43657,144.482
3.86395,2.88949,0.872829,9.74501
2.79244,1.27537,2.55165,9.08744
5.20402,2.83792,3.06101,45.2067
8.32453,3.8139,1.27354,40.4334
8.80337,6.40675,8.26746,466.293
7.92474,0.476699,1.52501,5.76106
7.43736,2.01575,7.87408,118.047
6.90451,8.84121,4.41786,269.685
3.11319,6.99454,1.71239,37.288
4.68062,0.792261,3.26182,12.0957
0.874355,5.66301,5.34684,26.4748
8.36177,5.47746,3.57372,163.681
2.17963,8.9996,1.65899,32.5424
6.23371,4.12305,2.79763,71.9045
3.19651,7.37327,9.79278,230.803
9.47935,9.20896,9.78027,853.768
5.40239,1.67852,2.96854,26.9187
5.10392,6.59444,5.69475,191.671
0.895413,3.13425,1.85553,5.20744
7.49962,5.78326,8.36573,362.841
4.07453,4.30952,3.32987,58.4701
6.65822,1.80883,7.0397,84.7834
6.03076,9.80926,6.82028,403.469
3.94635,3.49559,0.847499,11.6911
9.44029,0.77517,3.25785,23.8404
7.86309,8.33461,7.72637,506.354
1.13041,9.18302,6.22181,64.5857
8.54488,5.17777,7.70959,341.098
8.10999,2.05756,2.36122,39.4011
7.23045,3.61858,1.46123,38.2314
1.92572,8.51222,9.94507,163.021
1.67547,4.58449,7.99432,61.4057
